textid,Words (split by space),label
162,global web of suspects in child rape download,disgust
163,libby prosecutors await judge s rulings,surprise
164,police probe church fires half mile apart,sad
165,second hanging also went awry iraq tape shows,fear
166,stepping back in time at ski resort,joy
167,iraqi journalists add laws to list of dangers,sad
168,boy scouts blamed for starting wildfire,sad
169,report links humans to global warming,sad
170,stenson defends his title at dubai,joy
171,iraqi linked to sunni bloc is held in plot military says,joy
172,china launches two satellites into orbit,surprise
173,north africa feared as staging ground for terror,joy
174,breast cancer drug promises hope,joy
175,mortar assault leaves at least dead,sad
176,building a memorial to a son one child at a time,surprise
177,northeaster cancels flights shuts schools,fear
178,india to test new nuclear missile,joy
179,dell to cut bonuses trim management,joy
180,uk workers on alert for letter bombs,surprise
181,storm leaves behind major travel troubles,fear
182,rupert murdoch s secret tivo,surprise
183,house passes anti terrorism measure manila,joy
184,genghis khan beer mongolia grimaces,anger
185,youtube founders split m payout,surprise
186,former teacher poses for playboy,joy
187,madonna files adoption papers in malawi,joy
188,eye on cosmos is lost to short circuit on hubble,joy
189,all african amputee football games kick off,joy
190,forecasters expect toasty,anger
191,corn stoves popping up in u s homes,fear
192,chvez threatens to jail violators of price controls,joy
193,scientists discover miracle in the depths,joy
194,google unveils do it yourself search engine,surprise
195,ready to eat chicken breasts recalled due to suspected listeria,fear
196,teen allegedly armed by mom turns self in,sad
197,town packs gym to mourn killed in fire,sad
198,cocoa could be antidote to age related diseases says new study,sad
199,roundup protests erupt despite state of siege in guinea,fear
200,bush authorized iranians arrest in iraq rice says,fear
201,anglican and catholic churches could merge,joy
202,cousin gunman was srebrenica survivor,surprise
203,australia tells bush to speed up guantanamo trial,fear
204,european space agency,surprise
205,the secrets people reveal,joy
206,news baby pandas baby pandas baby pandas,sad
207,health canada issues advice on canned tuna,fear
208,grammys ready to name winners,joy
209,asean urges north korea resolution,joy
210,rebels to join nepal parliament,fear
211,rice u s won t pull plug on iraq,fear
212,anglicans rebuke u s branch on same sex unions,joy
213,somalia declares state of emergency,fear
214,hussein co defendants executed,sad
215,james brown s year old son left out of will,joy
216,ms adds office to vista coupon program,joy
217,britain to limit workers from romania bulgaria,joy
218,us airways boosts bid for delta,surprise
219,hpv vaccination stirs heated debate in america,fear
220,full recovery expected for marathon winner,joy
221,beckham won t play again for real,joy
222,cultural revolutionary the ipod is five,joy
223,village buried by inches of snow,surprise
224,mountain glaciers melting faster united nations says,sad
225,ice storm smacks roads power,fear
226,ex border patrol agent beaten in prison,anger
227,israel to install cameras to show live mughrabi footage,joy
228,latest updates on world s top stories,fear
229,lily allen wins web music award,joy
230,rowling heartbroken euphoric at potter s end,sad
231,hamas fatah leaders pledge to meet until they reach agreement,joy
232,new vaccine for cervical cancer could prove useful in men too,surprise
233,mbeki world cup planning on track,joy
234,money makeovers,anger
235,punter charged with stabbing asks to live outside state,sad
236,emi warns on profits boss goes,fear
237,gunman fine before shooting,sad
238,svindal claims are golden double,sad
239,ethiopia readies for millennium all its own,joy
240,mancuso sparks u s celebrations,joy
241,nasa spacecraft to measure sun,surprise
242,teen repellent inventor wins infamous prize,joy
243,peron held over s rights abuses,anger
244,kim jong il bans japanese cars in north korea,joy
245,canadians tracked in child porn ring,disgust
246,ryan o neal injured son s girlfriend,sad
247,messi makes barcelona squad return,joy
248,brith airways baggage charges cause confusion,surprise
249,a film star in kampala conjuring aminos ghost,joy
250,opponent is put on the spot over remarks about clinton,surprise
251,apple set for massive market gains,surprise
252,vista s hyped security will be tested,joy
253,dating difficult for harry potter,sad
254,uk letter bombs may be from extremist drivers,joy
255,bush vows cooperation on health care,joy
256,baby born on turnpike after dad misses exit,sad
257,parachutist dies at bridge jump festival,sad
258,citing spy agencies study democrats seek iraq changes,surprise
259,airlines uk airport runway unsafe,sad
260,man gets second chance at space ride,joy
261,archaeologists find remains of couple locked in a hug,surprise
262,study detects a gene linked to alzheimer s,surprise
263,weight loss drug to be sold over the counter,surprise
264,zach braff says he has mild depression,joy
265,apple warns itunes users to wait on vista,surprise
266,guy sweat is babe magnet,surprise
267,in egypt rice speaks softly,anger
268,ex jonbenet suspect child porn case dropped,surprise
269,court tv accused killer tells jury a love story,sad
270,us to urge nato afghan spring offensive,fear
271,texan allegedly joined somalia rebel plot,joy
272,tensions as hungary marks uprising,sad
273,idf shells lebanese army positions across northern border,sad
274,north korea claims nuclear test,joy
275,beckham to l a for the game not fame,joy
276,hungary police tackle violent protestors,fear
277,arthurs upsets robredo in first round at the st petersburg open,joy
278,brazil air force cites faults and confusion in fatal crash,sad
279,war is close ethiopia tells somali rebels,fear
280,democrats plot bush troop increase censure,fear
281,bangladesh ferry sinks dead,sad
282,sale of chrysler possible,joy
283,lawyer for deceased nazi era collaborator papon vows to bury him,anger
284,mixed reaction to china s africa push,joy
285,jon stewart mocks benefits of cnn s i,joy
286,top colombia official resigns,fear
287,toshiba portege r,anger
288,luxury digs in south carolina s lowcountry,joy
289,th person dies after receiving flu shot,sad
290,bears watch as lead slips away,joy
291,jail me i ate ivory coast chocolate,joy
292,teacher charged with sex assault,surprise
293,college tuition continues climbing,sad
294,matthews lays off turkey workers,joy
295,space life search turns to tv,sad
296,myspace welcomes french friends,joy
297,hackers attack root servers,anger
298,ice storm coating midwest,fear
299,gop senators to force debate on troops in iraq,anger
300,ex teacher guilty in nude pictures scheme,surprise
301,years on but couple still hugging,joy
302,pats fourth quarter rally finishes chargers,fear
303,review alpha dog misses the point,surprise
304,andromeda involved in galactic collision,sad
305,injured marathon winner leaves hospital,joy
306,kate is marrying doherty,joy
307,baghdad plan is a success iraq prime minister tells bush,fear
308,beckham outlines reasons for move,joy
309,al qaeda chiefs are seen to regain power,fear
310,start late retire rich,sad
311,autos drive european gains,anger
312,immigrants and french reach deal in standoff,joy
